Project definition,Name,Name of resp.person,Applicant no.,Company code,Profit center,Deletion Indicator
M1-19002,10 TS KRL KFW REVITALISASI,Project Coordinator,0,2300,2301,
M1-19012,31 TS LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-20001,1 TMC & 20 PPCW,Project Coordinator,0,2300,2301,
M1-20002,10 TS KRL KFW REVITALISASI,Project Coordinator,0,2300,2301,
M1-20007,3 UNIT LOCO + 15 CAR PASS. COACH PNR,Project Coordinator,0,2300,2301,
M1-20010,4 TS KRDE BIAS,Project Coordinator,0,2300,2301,
M1-20013,PEKERJAAN SIPIL,Project Coordinator,0,2300,2301,
M1-20014,FASILITAS PRODUKSI,Project Coordinator,0,2300,2301,
M1-20015,31 TS LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-20016,PEKERJAAN EMERGENCY MEDIC TRAIN,Project Coordinator,0,2300,2301,
M1-20020,PENGADAAN 1 UNIT KERETA UKUR MYC,Project Coordinator,0,2300,2301,
M1-20021,PENGADAAN 1 UNIT TMC ACEH LEBAR 1435 MM,Project Coordinator,0,2300,2301,
M1-20025,PMK BOGIE,Project Coordinator,0,2300,2301,
M1-20027,PROTOTYPE BOGIE TRAM,Project Coordinator,0,2300,2301,
M1-21001,31 TS LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-21002,10 UNIT AC PNR,Project Coordinator,0,2300,2301,
M1-21003,4 TS KRDE BIAS,Project Coordinator,0,2300,2301,
M1-21004,10 TS KRL KFW REVITALISASI,Project Coordinator,0,2300,2301,
M1-21005,3 UNIT LOCO + 15 CAR PASS. COACH PNR,Project Coordinator,0,2300,2301,
M1-21006,200 MG BANGLADESH,Project Coordinator,0,2300,2301,
M1-21007,K. UKUR MYC,Project Coordinator,0,2300,2301,
M1-21008,PENGADAAN 1 UNIT TMC ACEH LEBAR 1435 MM,Project Coordinator,0,2300,2301,
M1-21009,PENGADAAN 480 UNIT KKBW,Project Coordinator,0,2300,2301,
M1-21010,KERETA UKUR KONGO,Project Coordinator,0,2300,2301,
M1-21011,PROTOTIPE CONTROLLER SIV DAN VVVF,Project Coordinator,0,2300,2301,
M1-21012,4 TS DMU PHILIPPINE,Project Coordinator,0,2300,2301,
M1-21013,438 UNIT KERETA,Project Coordinator,0,2300,2301,
M1-21014,PERBAIKAN & IMPROVEMENT PPCW 57 TON,Project Coordinator,0,2300,2301,
M1-21015,600 CAR PPCW 42 TON,Project Coordinator,0,2300,2301,
M1-21016,KERETA SLEEPER,Project Coordinator,0,2300,2301,
M1-21017,AC HST-UI,Project Coordinator,0,2300,2301,
M1-21018,PENGADAAN KERETA UKUR LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-21019,PENGADAAN KA DEREK LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-21020,PEKERJAAN PEMBUATAN 2 UNIT CHASIS BUS BA,Project Coordinator,0,2300,2301,
M1-21021,PEKERJAAN PENGADAAN 1 (SATU) UNIT AC BUS,Project Coordinator,0,2300,2301,
M1-21022,INKA-PEKERJAAN PENGADAAN PROTOTYPE AC BU,Project Coordinator,0,2300,2301,
M1-21024,INKA-PENG 2 UNIT PROTTP MN REF CONTAINER,Project Coordinator,0,2300,2301,
M1-21026,PENGADAAN KERETA PPCW NEW DESIGN,Project Coordinator,0,2300,2301,
M1-21027,PENGADAAN MOBIL TOKO ELEKTRIK,Project Coordinator,0,2300,2301,
M1-21028,PGDN REEFER CONTAINER 20 FEET & 40 FEET,Project Coordinator,0,2300,2301,
M1-21030,PERBAIKAN & IMPROVEMENT PPCW 57 TON,Project Coordinator,0,2300,2301,
M1-21032,PROTOTYPE BOGIE MEDIUM SPEED TRAIN,Project Coordinator,0,2300,2301,
M1-21033,PROTOTYPE BOGIE TRAM,Project Coordinator,0,2300,2301,
M1-21034,PROTOTYPE RAIL GUIDE TRAM GUNAKSA BALI,Project Coordinator,0,2300,2301,
M1-22001,31 TS LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-22002,4 TS KRDE BIAS,Project Coordinator,0,2300,2301,
M1-22003,10 TS KRL KFW REVITALISASI,Project Coordinator,0,2300,2301,
M1-22004,PENGADAAN 1 UNIT KERETA UKUR MYC,Project Coordinator,0,2300,2301,
M1-22005,PENGADAAN 1 UNIT TMC ACEH LEBAR 1435 MM,Project Coordinator,0,2300,2301,
M1-22006,PENGADAAN 480 UNIT KKBW,Project Coordinator,0,2300,2301,
