Project definition,WBS element,Name,Level,Controlling area,User field 20chars 1,Status,User 10 chars 1
M1-22041,M1-22041.4300003938,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL  ACPT  //  KTRK,
M1-22041,M1-22041.4300003938.1,PENGADAAN 612 KERETA K1,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300003938.2,PENGADAAN 612 KERETA K3,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300003938.3,PENGADAAN 612 KERETA M (MAKAN),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300003938.4,PENGADAAN 612 KERETA P (POWER),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300003938.5,PENGADAAN 612 KERETA B (BAGASI),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300004283,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300004283.1,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL   //  KTRK,
M1-22041,M1-22041.8000122041,AFTERSALES PGDN 612 REPLACEMENT PT KAI,1,2100,,REL   //  KTRK,
M1-22041,M1-22041.4300004466,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL  ACPT  //  KTRK,
M1-22041,M1-22041.4500010091.1,PENGADAAN 612 KERETA K1,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.2,PENGADAAN 612 KERETA K3,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.3,PENGADAAN 612 KERETA M (MAKAN),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.6,PENGADAAN 612 KERETA REPLACEMENT PT KAI,1,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.7,PENGADAAN 612 KERETA K1,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.8,PENGADAAN 612 KERETA K3,2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.9,PENGADAAN 612 KERETA M (MAKAN),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.4,PENGADAAN 612 KERETA P (POWER),2,2100,,REL   //  KTRK,
M1-22041,M1-22041.4500010091.5,PENGADAAN 612 KERETA B (BAGASI),2,2100,,REL   //  KTRK,
