WBS Element,Purchase Requisition,Item of Requisition,Release indicator,Requisition Date,Release Date,Deliv. date(From/to),Deletion Indicator,Processing status,Material,Short Text,Material Group,Requisitioner,Req. Tracking Number,Purchasing Group,Quantity Requested,Unit of Measure,Purchase Order,Purchase Order Date,Purchase Order Item,Quantity Ordered,Document Type,Storage Location
,,,,,,,,,,,,,,,,,,,,,,
M1-22041.4300003938.4,1110004419,10,,2023-10-30,2023-01-05,2023-01-05,,B,A11ND0020,STEEL PLATE,RMRAWM,BAGI,,IM1,12.00,SHT,4200005403,2023-11-06,150,12.00,IM01,IS09
M1-22041.4300003938.4,1110004419,20,,2023-10-30,2023-01-05,2023-01-05,,B,A11ND0030,STEEL PLATE,RMRAWM,BAGI,,IM1,1.00,SHT,4200005403,2023-11-06,160,1.00,IM01,IS09
M1-22041.4300003938.4,1110004419,30,,2023-10-30,2023-01-05,2023-01-05,,B,A16ND0217L-S80,"STEEL PIPE 1/2""",RMRAWM,BAGI,,IM1,1,STK,4200005434,2023-11-09,350,1,IM01,IS09
M1-22041.4300003938.4,1110004419,40,,2023-10-30,2023-01-05,2023-01-05,,B,A16ND0272L-S80,"STEEL PIPE 3/4""",RMRAWM,BAGI,,IM1,1,STK,4200005540,2023-11-17,80,1,IM01,IS09
M1-22041.4300003938.4,1110004419,50,,2023-10-30,2023-01-05,2023-01-05,,B,A16ND0340L-S80,"STEEL PIPE 1""",RMRAWM,BAGI,,IM1,2,STK,4200005874,2023-12-13,80,2,IM01,IS09
M1-22041.4300003938.4,1110004722,10,,2023-11-20,2023-01-05,2023-01-05,,B,B52TO29100,MOTOR PUMP,RMCOMP,BAGI,,IM1,17,UN,4200005663,2023-11-28,10,17,IM01,IS09
M1-22041.4300003938.4,1110004722,20,,2023-11-20,2023-01-05,2023-01-05,,B,B53AA02135,GEAR PUMP,RMCOMP,BAGI,,IM1,17,UN,4200005663,2023-11-28,20,17,IM01,IS09
M1-22041.4300003938.4,1110004722,30,,2023-11-20,2023-01-05,2023-01-05,,B,B53AB01001,FILTER RACOR,RMCOMP,BAGI,,IM1,34,SET,4200005663,2023-11-28,30,34,IM01,IS09
M1-22041.4300003938.4,1110004722,40,,2023-11-20,2023-01-05,2023-01-05,,B,B53AC01014,PRESSURE VACUUM GAUGE,RMCOMP,BAGI,,IM1,17,PC,4200005650,2023-11-27,10,17,IM01,IS09
M1-22041.4300003938.4,1110004722,50,,2023-11-20,2023-01-05,2023-01-05,,B,B336A1840101,FUEL LEVEL SENSOR TANGKI ATAS,RMCOMP,BAGI,,IM1,17,PC,4200005694,2023-11-30,10,17,IM01,IS09
M1-22041.4300003938.4,1110004722,60,,2023-11-20,2023-01-05,2023-01-05,,B,B336A1840102,FUEL LEVEL SENSOR TANGKI BAWAH,RMCOMP,BAGI,,IM1,17,PC,4200005694,2023-11-30,20,17,IM01,IS09
M1-22041.4300003938.4,1110004722,70,,2023-11-20,2023-01-05,2023-01-05,,B,C51PGRL0032,MANUAL PUMP,RMTOOL,BAGI,,IM1,17,PC,4200005640,2023-11-27,10,17,IM01,IS09
M1-22041.4300003938,1110000156,10,,2023-01-11,2023-01-11,2023-01-11,,N,B48DC0400,LATERAL DAMPER,SF0113,WS INKA,,IM1,1,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000387,10,,2023-01-21,2023-01-28,2023-01-28,,B,B42CH0416150,DYNABOLT,RMFAST,WS INKA,,IM1,100,PC,4200002457,2023-01-26,30,100,IM01,IS09
M1-22041.4300003938,1110000643,10,,2023-02-06,2023-02-10,2023-02-10,,B,B42CH0416150,DYNABOLT,RMFAST,WS INKA,,IM1,360,PC,4200002774,2023-02-16,10,360,IM01,IS09
M1-22041.4300003938,1110000522,10,,2023-01-31,2023-02-14,2023-02-14,,B,D62QE0020#HB,HIPPON MASTIC PRIMER + HARDENER,RMCONS,WS INKA,,IM1,40,LTS,4200002700,2023-02-13,10,40,IM01,IS09
M1-22041.4300003938,1110000635,10,,2023-02-06,2023-02-14,2023-02-14,,B,A10TI0180#01,MULTIPLEK,RMRAWM,BAGI,,IM1,90.00,SHT,4200002691,2023-02-10,20,90.00,IM01,IS09
M1-22041.4300003938,1110000635,20,,2023-02-06,2023-02-14,2023-02-14,,B,D82QI0500,PAKU,RMCONS,BAGI,,IM1,4.00,KG,4200002691,2023-02-10,30,4.00,IM01,IS09
M1-22041.4300003938,1110000635,30,,2023-02-06,2023-02-14,2023-02-14,,B,B42BU0908030,DRILLING BOLT,RMFAST,BAGI,,IM1,1000,PC,4200003084,2023-03-16,10,1000,IM01,IS09
M1-22041.4300003938,1110000157,10,,2023-01-11,2023-02-20,2023-02-20,X,N,B48DC0400,LATERAL DAMPER,SF0113,WS INKA,,IM1,4,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,20,,2023-01-11,2023-02-20,2023-02-20,X,N,B48KE0013,CENTER PLATE LINER,SF0113,WS INKA,,IM1,4,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,30,,2023-01-11,2023-02-20,2023-02-20,X,N,B48GA0301,HANGER BRACKET,SF0113,WS INKA,,IM1,16,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,40,,2023-01-11,2023-02-20,2023-02-20,X,N,B48JB0301,BOTTOM CENTER PLATE,SF0113,WS INKA,,IM1,4,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,50,,2023-01-11,2023-02-20,2023-02-20,X,N,B48CG0901,SWING LINK,SF0113,WS INKA,,IM1,16,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,60,,2023-01-11,2023-02-20,2023-02-20,X,N,B48CA0817,ADJUSTING SPRING,SF0113,WS INKA,,IM1,32,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,70,,2023-01-11,2023-02-20,2023-02-20,X,N,B45ME1882,PIN 15.5 X 82,SF0113,WS INKA,,IM1,32,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000157,80,,2023-01-11,2023-02-20,2023-02-20,X,N,B48UP0031,PLUG,SF0113,WS INKA,,IM1,96,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000158,10,,2023-01-11,2023-02-20,2023-02-20,,N,B48M25011,BRAKE BLOCK HEAD,PRTMEKIN,WS INKA,,IM1,16,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000158,20,,2023-01-11,2023-02-20,2023-02-20,,N,B48ML2212,SHOE KEY,PRTMEKIN,WS INKA,,IM1,16,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000158,30,,2023-01-11,2023-02-20,2023-02-20,,N,B48CN5019,SAFETY BAND,PRTMEKIN,WS INKA,,IM1,18,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000158,40,,2023-01-11,2023-02-20,2023-02-20,,N,B47BA00011,BRACKET SHAFT HANDLE ON/OFF,PRTMEKIN,WS INKA,,IM1,1,PC,,,0,0,IM01,IS09
M1-22041.4300003938,1110000159,70,,2023-01-11,2023-02-20,2023-02-20,X,N,B314A17011,Box stop blok,PRTMEKIN,WS INKA,,IM1,2,SET,,,0,0,IM01,IS09
M1-22041.4300003938,1110001034,10,,2023-02-27,2023-02-27,2023-02-27,,B,,"Handling Custom, Clearance & Forwarding",SA01,WS INKA,,IM1,1,AU,4200002938,2023-03-02,10,1,IM01,IS09
M1-22041.4300003938,1110000800,10,,2023-02-14,2023-02-28,2023-02-28,,B,D62QE0020#HB,HIPPON MASTIC PRIMER + HARDENER,RMCONS,WS INKA,,IM1,40,LTS,4200002858,2023-02-23,10,40,IM01,IS09
M1-22041.4300003938,1110000540,10,,2023-02-01,2023-03-10,2023-03-10,,B,C79UI0190,ALAT PENGANGKAT KACA,RMTOOL,WS INKA,,IM1,36,PC,4200002836,2023-02-21,10,36,IM01,IS09
M1-22041.4300003938,1110000540,20,,2023-02-01,2023-03-10,2023-03-10,,B,C79UI0120,ALAT PENGANGKAT KACA,RMTOOL,WS INKA,,IM1,18,PC,4200002836,2023-02-21,20,18,IM01,IS09
M1-22041.4300003938,1110000757,10,,2023-02-13,2023-03-10,2023-03-10,,B,C3124K43720,ELECTRODE HOLDER,RMTOOL,WS INKA,,IM1,10,PC,4200003044,2023-03-15,50,10,IM01,IS09
M1-22041.4300003938.1,1110001512,170,,2023-03-27,2023-03-27,2023-03-27,,B,D04UF0100,SELANG ANGIN,RMCONS,WS INKA,,IM1,5,ROL,4200003451,2023-05-03,50,5,IM01,IS09
M1-22041.4300003938,1110000872,10,,2023-02-17,2023-03-31,2023-03-31,,B,B42BE3108040,HAMMER HEAD SCREW,RMCOMP,WS INKA,,IM1,558,PC,4200003389,2023-04-17,10,558,IM01,IS09
M1-22041.4300003938,1110000872,20,,2023-02-17,2023-03-31,2023-03-31,,B,B42BE3106025,HAMMER HEAD SCREW,RMCOMP,WS INKA,,IM1,66,PC,4200003389,2023-04-17,20,66,IM01,IS09
M1-22041.4300003938,1110000872,30,,2023-02-17,2023-03-31,2023-03-31,,B,B43BE220008,SLOT NUT TWIST IN WITH SPRING,RMCOMP,WS INKA,,IM1,392,PC,4200003389,2023-04-17,30,392,IM01,IS09
M1-22041.4300003938,1110000872,40,,2023-02-17,2023-03-31,2023-03-31,,B,B43BE010008,HEX NUT,RMFAST,WS INKA,,IM1,558,PC,4200003051,2023-03-15,60,558,IM01,IS09
M1-22041.4300003938,1110000872,50,,2023-02-17,2023-03-31,2023-03-31,,B,B44BE0108,PLAIN WASHER,RMFAST,WS INKA,,IM1,558,PC,4200003051,2023-03-15,70,558,IM01,IS09
M1-22041.4300003938,1110001655,10,,2023-04-03,2023-04-03,2023-04-03,,B,,JASA MACHINING ACP,SZ02,BAGI,,IM1,1,AU,4200003336,2023-04-11,10,1,IM01,IS09
M1-22041.4300003938,1110001659,20,,2023-04-03,2023-04-03,2023-04-03,,B,D80SQ02190,RODA TROLLY,RMCONS,WS INKA,,IM1,20,PC,4200003344,2023-04-11,30,20,IM01,IS09
M1-22041.4300003938.1,1110001314,10,,2023-03-15,2023-04-05,2023-04-05,,B,A11ND0010,STEEL PLATE,RMRAWM,BAGI,,IM1,1054.00,SHT,4200003204,2023-03-28,120,1054.00,IM01,IS09
M1-22041.4300003938.1,1110001314,20,,2023-03-15,2023-04-05,2023-04-05,,B,A11ND0015,PLATE SUS 304 FINISH 2B,RMRAWM,BAGI,,IM1,1343.00,SHT,4200003204,2023-03-28,130,1343.00,IM01,IS09
M1-22041.4300003938.1,1110001314,30,,2023-03-15,2023-04-05,2023-04-05,,B,A11ND0030E10,STEEL PLATE,RMRAWM,BAGI,,IM1,593.00,SHT,4200003204,2023-03-28,140,593.00,IM01,IS09
M1-22041.4300003938.1,1110001314,40,,2023-03-15,2023-04-05,2023-04-05,,B,A11ND0040,STEEL PLATE,RMRAWM,BAGI,,IM1,11.00,SHT,4200003204,2023-03-28,150,11.00,IM01,IS09
M1-22041.4300003938.1,1110001314,50,,2023-03-15,2023-04-05,2023-04-05,,B,A11AB0023,STEEL PLATE,RMRAWM,BAGI,,IM1,14.00,SHT,4200003245,2023-03-31,190,14.00,IM01,IS09
M1-22041.4300003938.1,1110001314,60,,2023-03-15,2023-04-05,2023-04-05,,B,A11AB0030,STEEL PLATE,RMRAWM,BAGI,,IM1,1.00,SHT,4200003245,2023-03-31,200,1.00,IM01,IS09
M1-22041.4300003938.1,1110001314,70,,2023-03-15,2023-04-05,2023-04-05,,B,A11AB0040,STEEL PLATE,RMRAWM,BAGI,,IM1,1.00,SHT,4200003245,2023-03-31,210,1.00,IM01,IS09
M1-22041.4300003938.1,1110001314,80,,2023-03-15,2023-04-05,2023-04-05,,B,A11AB0060,PLATE STEEL,RMRAWM,BAGI,,IM1,15.00,SHT,4200003245,2023-03-31,220,15.00,IM01,IS09
M1-22041.4300003938.1,1110001314,90,,2023-03-15,2023-04-05,2023-04-05,,B,A11AB0090,STEEL PLATE,RMRAWM,BAGI,,IM1,22.00,SHT,4200003245,2023-03-31,230,22.00,IM01,IS09
M1-22041.4300003938.1,1110001314,100,,2023-03-15,2023-04-05,2023-04-05,,B,A15ND0050,ROUND BAR,RMRAWM,BAGI,,IM1,51,STK,4200003494,2023-05-08,160,51,IM01,IS09
M1-22041.4300003938.1,1110001314,110,,2023-03-15,2023-04-05,2023-04-05,,B,A15ND0060,ROUND BAR,RMRAWM,BAGI,,IM1,5,STK,4200003494,2023-05-08,170,5,IM01,IS09
M1-22041.4300003938.1,1110001314,120,,2023-03-15,2023-04-05,2023-04-05,,B,A15ND0100,ROUND BAR,RMRAWM,BAGI,,IM1,108,STK,4200003494,2023-05-08,180,108,IM01,IS09
M1-22041.4300003938.1,1110001314,130,,2023-03-15,2023-04-05,2023-04-05,,B,A16ND0217L-S40,"STEEL PIPE 1/2""",RMRAWM,BAGI,,IM1,11,STK,4200003494,2023-05-08,190,11,IM01,IS09
M1-22041.4300003938.1,1110001314,140,,2023-03-15,2023-04-05,2023-04-05,,B,A16ND0340L-S40,"STEEL PIPE 1""",RMRAWM,BAGI,,IM1,20,STK,4200003494,2023-05-08,200,20,IM01,IS09
M1-22041.4300003938.1,1110001314,150,,2023-03-15,2023-04-05,2023-04-05,,B,A16ND0486L-S40,"STEEL PIPE 1 1/2""",RMRAWM,BAGI,,IM1,3,STK,4200003494,2023-05-08,210,3,IM01,IS09
M1-22041.4300003938.1,1110001314,160,,2023-03-15,2023-04-05,2023-04-05,,B,A16ND0763L-S40,"STEEL PIPE 2 1/2""",RMRAWM,BAGI,,IM1,8,STK,4200003494,2023-05-08,220,8,IM01,IS09
M1-22041.4300003938.1,1110001314,170,,2023-03-15,2023-04-05,2023-04-05,X,N,A08ND0012,WIRE MESH,RMRAWM,BAGI,,IM1,340000.00,M,,,0,0.00,IM01,IS09
M1-22041.4300003938.1,1110001314,180,,2023-03-15,2023-04-05,2023-04-05,X,N,A08ND0020,WIRE MESH,RMRAWM,BAGI,,IM1,170000.00,M,,,0,0.00,IM01,IS09
