WBS Element,Purchasing Document,Item,Material,Deletion Indicator,Short Text,Order Quantity,Order Unit,Document Date,Vendor/supplying plant,Still to be delivered (value),Still to be invoiced (qty),Still to be invoiced (val.),Net price,Still to be delivered (qty),Currency,Acct Assignment Cat.,PO history/release documentation
,,,,,,,,,,,,,,,,,
M1-22041.9000000409,4200008514,10,B50CD0203,,KRAN WUDHU,18,PC,2024-09-11,"3000666    SARANA DELTA MANDIRI, PT",0,18,7650000,425000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006348,10,A10WY0150,,HONEYCOMB,1.00,SHT,2024-01-24,"3001073    JUSTUS KIMIARAYA, PT",0,0.00,0,852225,0.00,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006367,60,B51CUWH0058,,HOSE NIPPLE CONNECTOR,2,PC,2024-01-25,"3001119    PRAMESTI, UD",0,0,0,11000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006377,40,B50AC3004,,PUSH LOCK,2,PC,2024-01-26,"3001096    MULIA, UD",0,0,0,26000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006383,20,B50DF2505,,EXHAUST FAN,2,UN,2024-01-29,"3001022    ANANG BENGKEL, CV",0,0,0,489000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006383,30,B50AC20022,,CYLINDER LOCK,24,PC,2024-01-29,"3001022    ANANG BENGKEL, CV",0,0,0,21500,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006383,40,B50AC20022,,CYLINDER LOCK,24,PC,2024-01-29,"3001022    ANANG BENGKEL, CV",0,0,0,21500,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006384,30,B50AC9004,,GAS SPRING,2,PC,2024-01-29,"3001022    ANANG BENGKEL, CV",0,0,0,18000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006401,410,A10XU0030,,ACRYLIC,1.00,SHT,2024-01-30,"3001096    MULIA, UD",0,0.00,0,772000,0.00,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006401,420,A10XU0030,,ACRYLIC,1.00,SHT,2024-01-30,"3001096    MULIA, UD",0,0.00,0,772000,0.00,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006401,430,A10XU0030,,ACRYLIC,1.00,SHT,2024-01-30,"3001096    MULIA, UD",0,0.00,0,772000,0.00,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006421,10,A09TA0050,,ARMAFLEX,3.00,SHT,2024-01-31,"3001051    Enos Putra Pratama, CV",0,0.00,0,1210000,0.00,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006429,50,D81WM0002,,BATTERY AA,8,PC,2024-01-31,"3001530    JAYA MULYA TEKNIK, CV",0,0,0,6500,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006563,50,B50CE0113,,END FITTING GAS SPRING + BRACKET,4,PC,2024-02-15,"3001022    ANANG BENGKEL, CV",0,0,0,105000,0,IDR,Q,@0N\QPO history/release documentati@
M1-22041.9000000333,4200006563,120,B50RFAN0001,,HANDLE BAMBU,4,PC,2024-02-15,"3001022    ANANG BENGKEL, CV",0,0,0,31500,0,IDR,Q,@0N\QPO history/release documentati@
