Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
21.0-M41001,2301,IS05,Q,,M0-22001.9000000006,,,UN,6,IDR,0,0,0,0,0,0,0,0,0,0,0
A02YN00025,2301,IS01,Q,M,M9-23005.9000000194,,,M,"120,00",IDR,1.446.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0034,2301,IS01,,,,,,M,"1,00",IDR,1.692.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0114,2301,IS01,,,,,,M,"1,00",IDR,642.750,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0114,2301,IS01,Q,M,M1-22041.4300003938,,,M,"125,00",IDR,54.375.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0200,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"34,00",IDR,21.366.907,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0200,2301,IS01,Q,M,M1-22041.4300003938.2,,,M,"4,00",IDR,2.513.753,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0200,2301,IS01,Q,M,M1-23011.4300004437.3,,,M,"4,00",IDR,2.600.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0278,2301,IS01,Q,M,M1-22033.9000000027,,,M,"1,00",IDR,740.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0300,2301,IS01,Q,M,M1-22033.9000000027,,,M,"16,00",IDR,24.800.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0300,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"45,00",IDR,33.709.285,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0300,2301,IS01,Q,M,M1-22041.4300003938.2,,,M,"34,00",IDR,25.500.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0300,2301,IS01,Q,M,M1-22041.4300003938.3,,,M,"6,00",IDR,4.500.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0300,2301,IS01,Q,M,M1-22041.4300003938.4,,,M,"2,00",IDR,1.500.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0312,2301,IS01,,,,,,M,"18,00",IDR,27.637.506,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0312,2301,IS01,Q,M,M1-23011.4300004437,,,M,"33,00",IDR,28.050.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0312,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"60,00",IDR,51.000.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0312,2301,IS01,Q,M,M1-22041.4300003938.2,,,M,"204,00",IDR,142.800.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04AQ0512,2301,IS01,,,,,,M,"2,00",IDR,9.711.400,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A04WG06070100,2301,IS01,,,,,,ROL,7,IDR,826.000,0,0,0,0,0,0,0,0,0,0
A04WG08100100,2301,IS01,Q,M,M1-23003.4500010780,,,ROL,16,IDR,4.000.000,0,0,0,0,0,0,0,0,0,0
