Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch
2024-10-09,A04AQ0114,HOSE SUNFLEX,,2024-10-09,-20.00,1,221,M1-22041.4300003938,M,-8700000,4900344076,IMS_INVT01,,FINISHING INKA,,,83888,
2024-09-20,A04AQ0114,HOSE SUNFLEX,,2024-09-20,-2.00,1,221,M1-22041.4300003938,M,-870000,4900341401,IMS_INVT01,,FINISHING INKA,,,82788,
2024-09-20,A04AQ0114,HOSE SUNFLEX,,2024-09-20,-1.00,1,221,M1-22041.4300003938,M,-435000,4900341402,IMS_INVT01,,WS BAGI,,,82790,
2024-08-20,A04AQ0114,HOSE SUNFLEX,,2024-08-20,-8.00,1,221,M1-22041.4300003938,M,-3480000,4900336557,IMS_INVT01,,FINISHING INKA,,,80288,
2024-08-01,A04AQ0114,HOSE SUNFLEX,,2024-08-01,-7.00,1,221,M1-22041.4300003938,M,-3045000,4900333404,IMS_INVT01,,FINISHING INKA,,,78614,
2024-07-22,A04AQ0114,HOSE SUNFLEX,,2024-07-22,-7.00,1,221,M1-22041.4300003938,M,-3045000,4900331096,IMS_INVT01,,FINISHING INKA,,,77214,
2024-07-08,A04AQ0114,HOSE SUNFLEX,,2024-07-08,-20.00,1,221,M1-22041.4300003938,M,-8700000,4900328349,IMS_INVT01,,FINISHING INKA,,,75654,
2024-01-26,A04AQ0114,HOSE SUNFLEX,,2024-01-26,-50.00,1,221,M1-22041.4300003938,M,-21750000,4900303761,IMS_INVT01,,DALMAT FIN.INKA,,,62922,
2024-09-18,A04AQ0200,HOSE SUNFLEX,,2024-09-18,-7.00,2,221,M1-22041.4300003938,M,-4399069,4900341043,IMS_INVT01,,WS BAGI,,,82580,
2023-12-20,A04WG06070100,SOFT VINYL TUBE BLACK,,2023-12-20,-1,1,221,M1-22041.4300003938,ROL,-118000,4900298214,IMS_INVT01,,WS. BAGI,,,60438,
2023-11-08,A04WG06070100,SOFT VINYL TUBE BLACK,,2023-11-08,-1,1,221,M1-22041.4300003938,ROL,-118000,4900291060,IMS_INVT01,,WS. BAGI,,,56931,
2024-03-25,A07DU02010,LOAD CHAIN POWERTEC G80 10mm,,2024-03-25,-20.00,1,221,M1-22041.4300003938,M,-4510000,4900312507,IMS_INVT01,,WS BAGI,,,67661,
2024-02-23,A07DU02010,LOAD CHAIN POWERTEC G80 10mm,,2024-02-23,-2.00,1,221,M1-22041.4300003938,M,-451000,4900308005,IMS_INVT01,,WS BAGI,,,65215,
2024-06-21,A08ND0060,WIRE MESH,,2024-06-21,-1,1,221,M1-22041.4300003938,ROL,-3700000,4900325461,IMS_INVT01,,WS BAGI,,,74240,
2024-06-21,A08ND0100,WIRE MESH,,2024-06-21,-1,2,221,M1-22041.4300003938,ROL,-4200000,4900325461,IMS_INVT01,,WS BAGI,,,74240,
2024-07-10,A08RF0101,WIRE MESH,,2024-07-10,-20.00,1,221,M1-22041.4300003938,M,-1100000,4900328852,IMS_INVT01,,WS BAGI,,,76074,
2024-08-14,A09SJ0500B4#AL80,ROCKWOOL BLANGKET,,2024-08-14,-456.00,1,221,M1-22041.4300003938,SHT,-38760000,4900335665,IMS_INVT01,,WS BAGI,,,79776,
2024-09-01,A10TA1100D5-S30,CA SPONGE (SHORE 30),,2024-09-01,-20.00,1,221,M1-22041.4300003938,SHT,-4100000,4900338513,IMS_INVT01,,FINISHING INKA,,,81244,
2024-06-28,A10TA1100D5-S30,CA SPONGE (SHORE 30),,2024-06-28,-20.00,1,221,M1-22041.4300003938,SHT,-4100000,4900326687,IMS_INVT01,,FINISHING INKA,,,74924,
2024-05-23,A10TA1100D5-S30,CA SPONGE (SHORE 30),,2024-05-23,-15.00,1,221,M1-22041.4300003938,SHT,-3075000,4900320814,IMS_INVT01,,FINISHING WS.INK,,,71780,
2024-04-18,A10TA1100D5-S30,CA SPONGE (SHORE 30),,2024-04-18,-20.00,1,221,M1-22041.4300003938,SHT,-4100000,4900314951,IMS_INVT01,,FINISHING WS.INK,,,68743,
2024-03-04,A10TI0180#01,MULTIPLEK,,2024-03-04,-20.00,1,221,M1-22041.4300003938,SHT,-4420000,4900309558,IMS_INVT01,,WS. BAGI,,,66077,
2023-12-16,A10TI0180#01,MULTIPLEK,,2023-12-16,-20.00,1,221,M1-22041.4300003938,SHT,-8000000,4900297406,IMS_INVT01,,WS. BAGI,,,60152,
2023-05-04,A10TI0180#01,MULTIPLEK,,2023-05-04,-25.00,1,221,M1-22041.4300003938,SHT,-8042187,4900275296,IMS_INV01,,WS. BAGI,,,49780,
2023-03-30,A10TI0180#01,MULTIPLEK,,2023-03-30,-25.00,1,221,M1-22041.4300003938,SHT,-8042188,4900273918,IMS_INV01,,WS. BAGI,,,49339,
2023-02-20,A10TI0180#01,MULTIPLEK,,2023-02-20,-20.00,1,221,M1-22041.4300003938,SHT,-6433750,4900272070,IMS_INV01,,WS. BAGI,,,48650,
2023-02-13,A10TI0180#01,MULTIPLEK,,2023-02-13,-10.00,1,221,M1-22041.4300003938,SHT,-2210000,4900271675,IMS_INV01,,WS. BAGI,,,48507,
2024-07-18,A10UB01080,SARINGAN NYLON MESH,,2024-07-18,-12.00,1,221,M1-22041.4300003938,M,-468000,4900330500,IMS_INVT01,,,,,76939,
2024-09-04,A10XU0080,ACRYLIC,,2024-09-04,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900339074,IMS_INVT01,,KIRIM INKA,,,81610,
2024-06-25,A10XU0080,ACRYLIC,,2024-06-25,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900326033,IMS_INVT01,,WS INKA,,,74556,
2024-05-30,A10XU0080,ACRYLIC,,2024-05-30,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900322024,IMS_INVT01,,FINISHING WS.INK,,,72281,
2024-04-28,A10XU0080,ACRYLIC,,2024-04-28,-40.00,1,221,M1-22041.4300003938,SHT,-64000000,4900316667,IMS_INVT01,,WS INKA,,,69746,
2024-03-30,A10XU0080,ACRYLIC,,2024-03-30,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900313404,IMS_INVT01,,FINISHING WS.INK,,,68104,
2024-02-23,A10XU0080,ACRYLIC,,2024-02-23,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900307942,IMS_INVT01,,FINISHING WS.INK,,,65293,
2024-02-06,A10XU0080,ACRYLIC,,2024-02-06,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900305529,IMS_INVT01,,FINISHING WS.INK,,,63935,
2024-01-25,A10XU0080,ACRYLIC,,2024-01-25,-20.00,1,221,M1-22041.4300003938,SHT,-32000000,4900303709,IMS_INVT01,,WS. INKA,,,62924,
2024-01-05,A10XU0080,ACRYLIC,,2024-01-05,-15.00,1,221,M1-22041.4300003938,SHT,-24000000,4900301087,IMS_INVT01,,WS. INKA,,,61613,
2023-12-06,A10ZD0090,TEFLON,,2023-12-06,-10.00,1,221,M1-22041.4300003938,SHT,-55600000,4900295766,IMS_INVT01,,DALMAT GE INKA,,,58252,
2024-05-11,A10ZD0150,TEFLON,,2024-05-11,-1.00,1,221,M1-22041.4300003938,SHT,-2135000,4900318663,IMS_INVT01,,WS BAGI,,,70843,
