Project Definition,WBS Element,Sales Document,Sales Document Item
M0-21002,M0-21002.9000000005,1100000053,10
M0-21002,M0-21002.9000000005,1100000066,10
M0-21002,M0-21002.9000000005,1100000067,10
M0-21002,M0-21002.9000000005,1100000069,10
M0-21002,M0-21002.9000000005,1100000072,10
M0-21002,M0-21002.9000000005,1100000073,10
M0-21002,M0-21002.9000000005,1100000074,10
M0-21002,M0-21002.9000000005,1100000075,10
M0-21002,M0-21002.9000000005,1100000078,10
M0-21002,M0-21002.9000000005,1100000090,10
M0-21002,M0-21002.9000000005,1100000091,10
M0-21002,M0-21002.9000000005,1100000093,10
M0-21002,M0-21002.9000000005,1100000101,10
M0-21002,M0-21002.9000000005,1100000158,10
M0-21002,M0-21002.9000000030,1100000152,10
M0-21003,M0-21003.9000000005,1100000044,10
M0-21003,M0-21003.9000000005,1100000071,10
M0-21003,M0-21003.9000000005,1100000077,10
M0-21003,M0-21003.9000000005,1100000089,10
M0-21003,M0-21003.9000000005,1100000096,10
M0-21003,M0-21003.9000000005,1100000134,10
M0-21003,M0-21003.9000000005,1100000149,10
M0-21003,M0-21003.9000000005,1100000150,10
M0-21003,M0-21003.9000000005,1100000157,10
M0-21003,M0-21003.9000000005,1100000175,10
M0-21003,M0-21003.9000000005,1100000210,10
M0-21003,M0-21003.9000000005,1100000314,10
M0-21003,M0-21003.9000000006,1100000058,10
M0-21003,M0-21003.9000000006,1100000059,10
M0-22001,M0-22001.9000000006,1100000047,10
M0-22001,M0-22001.9000000006,1100000050,10
M0-22001,M0-22001.9000000006,1100000054,10
M0-22001,M0-22001.9000000006,1100000063,10
M0-22001,M0-22001.9000000006,1100000095,10
M0-22001,M0-22001.9000000006,1100000098,10
M0-22001,M0-22001.9000000006,1100000099,10
M0-22001,M0-22001.9000000006,1100000104,10
M0-22001,M0-22001.9000000006,1100000108,10
M0-22001,M0-22001.9000000006,1100000109,10
M0-22001,M0-22001.9000000006,1100000110,10
M0-22001,M0-22001.9000000006,1100000112,10
M0-22001,M0-22001.9000000006,1100000113,10
M0-22001,M0-22001.9000000006,1100000114,10
M0-22001,M0-22001.9000000006,1100000116,10
M0-22001,M0-22001.9000000006,1100000117,10
M0-22001,M0-22001.9000000006,1100000118,10
M0-22001,M0-22001.9000000006,1100000120,10
M0-22001,M0-22001.9000000006,1100000130,10
M0-22001,M0-22001.9000000006,1100000130,20
M0-22001,M0-22001.9000000006,1100000176,10
M0-22001,M0-22001.9000000006,1100000177,10
M0-22001,M0-22001.9000000006,1100000179,10
M0-22001,M0-22001.9000000006,1100000180,10
M0-22001,M0-22001.9000000006,1100000181,10
M0-22001,M0-22001.9000000006,1100000183,10
M0-22001,M0-22001.9000000006,1100000184,10
M0-22001,M0-22001.9000000006,1100000185,10
M0-22001,M0-22001.9000000006,1100000186,10
M0-22001,M0-22001.9000000006,1100000187,10
M0-22001,M0-22001.9000000006,1100000188,10
M0-22001,M0-22001.9000000006,1100000189,10
M0-22001,M0-22001.9000000006,1100000190,10
M0-22001,M0-22001.9000000006,1100000191,10
M0-22001,M0-22001.9000000006,1100000197,10
M0-22001,M0-22001.9000000006,1100000198,10
M0-22001,M0-22001.9000000006,1100000199,10
M0-22001,M0-22001.9000000006,1100000254,10
M0-22001,M0-22001.9000000006,1100000257,10
M0-22001,M0-22001.9000000006,1100000258,10
M0-22001,M0-22001.9000000006,1100000259,10
M0-22001,M0-22001.9000000006,1100000260,10
M0-22001,M0-22001.9000000006,1100000261,10
M0-22001,M0-22001.9000000006,1100000262,10
M0-22001,M0-22001.9000000006,1100000263,10
