Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
21.0-M41001,2301,IS05,Q,,UN,7,IDR,
A04AQ0034,2301,IS01,,,M,"1,00",IDR,
A04AQ0114,2301,IS01,,,M,"1,00",IDR,
A04AQ0200,2301,IS01,Q,,M,"34,00",IDR,
A04AQ0200,2301,IS01,Q,,M,"4,00",IDR,
A04AQ0200,2301,IS01,Q,,M,"4,00",IDR,
A04AQ0278,2301,IS01,Q,,M,"1,00",IDR,
A04AQ0300,2301,IS01,Q,,M,"16,00",IDR,
A04AQ0300,2301,IS01,Q,,M,"45,00",IDR,
A04AQ0300,2301,IS01,Q,,M,"34,00",IDR,
A04AQ0300,2301,IS01,Q,,M,"6,00",IDR,
A04AQ0300,2301,IS01,Q,,M,"2,00",IDR,
A04AQ0312,2301,IS01,,,M,"18,00",IDR,
A04AQ0312,2301,IS01,Q,,M,"33,00",IDR,
A04AQ0312,2301,IS01,Q,,M,"60,00",IDR,
A04AQ0312,2301,IS01,Q,,M,"204,00",IDR,
A04AQ0512,2301,IS01,,,M,"2,00",IDR,
A04WG06070100,2301,IS01,,,ROL,7,IDR,
A04WG08100100,2301,IS01,Q,,ROL,16,IDR,
A04WG12140100,2301,IS01,Q,,ROL,25,IDR,
A04WG16180100,2301,IS01,Q,,ROL,4,IDR,
A04WG18200100,2301,IS01,,,ROL,1,IDR,
A04WG18200100,2301,IS01,Q,,ROL,6,IDR,
A04WG20220100,2301,IS01,Q,,ROL,11,IDR,
A04WG24260100,2301,IS01,Q,,ROL,19,IDR,
A04WG26280050,2301,IS01,,,ROL,2,IDR,
A04WZ10806,2301,IS01,Q,,M,"28,00",IDR,
A07ND01080,2301,IS01,Q,,M,"22,00",IDR,
A07ND01080,2301,IS01,Q,,M,"61,00",IDR,
A07ND01080,2301,IS01,Q,,M,"56,00",IDR,
A07ND01080,2301,IS01,Q,,M,"46,00",IDR,
A07ND01080,2301,IS01,Q,,M,"22,00",IDR,
A07ND01080,2301,IS01,Q,,M,"4,00",IDR,
A08ND0012,2301,IS01,Q,,M,"2,00",IDR,
A08ND0012,2301,IS01,Q,,M,"219,00",IDR,
A08ND0012,2301,IS01,Q,,M,"117,00",IDR,
A08ND0012,2301,IS01,Q,,M,"11,00",IDR,
A08ND0012,2301,IS01,Q,,M,"192,00",IDR,
A08ND0012,2301,IS01,Q,,M,"48,00",IDR,
A08ND0020,2301,IS01,Q,,M,"1,00",IDR,
A08ND0020,2301,IS01,Q,,M,"102,00",IDR,
A08ND0020,2301,IS01,Q,,M,"54,00",IDR,
A08ND0020,2301,IS01,Q,,M,"7,00",IDR,
