PROJECT DEF,WBS ELEMENT,SO DOCUMENT,SO DATE,REQ DELIVERY DATE,DURATION,CUSTOMER PO NUMBER,CUSTOMER CODE,CUSTOMER NAME,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM_1,UNIT PRICE DO,TOTAL PRICE DO,TO BE DELIVER QTY,INVOICED QTY,UOM_2,UNIT PRICE BILLING,TOTAL PRICE BILLING,TO BE INVOICE,STATUS,UNIT PRICE INVOICE,TO BE DELIVER INVOICE
M1-22040,M1-22040.4500009895,1200000160,2023-01-05,2023-02-28,64,4500009895,140000,"INKA (PERSERO), PT",FGB50CA0109,Lavatory System For DEMU,10,4,0,1760000000,-2147483648,3,0,1760000000,-2147483648,1,3,0,0,-2147483648,0,On Progress,1760000000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan CP & WI,10,1,0,916000,916000,0,0,916000,0,1,0,0,0,0,0,On Progress,916000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan MD,20,1,0,456093,456093,0,0,456093,0,1,0,0,0,0,0,On Progress,456093,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan PI & PT,30,1,0,916000,916000,0,0,916000,0,1,0,0,0,0,0,On Progress,916000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan WP,40,1,0,456000,456000,0,0,456000,0,1,0,0,0,0,0,On Progress,456000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan Tree Diagram & Flow Process,50,1,0,456000,456000,0,0,456000,0,1,0,0,0,0,0,On Progress,456000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan Laporan Progres Pengadaan,60,1,0,456000,456000,0,0,456000,0,1,0,0,0,0,0,On Progress,456000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_AU,Pembuatan Laporan Progres Produksi,70,1,0,456000,456000,0,0,456000,0,1,0,0,0,0,0,On Progress,456000,1
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_CAR,Pembuatan Aksesories Kereta Derek,80,2,0,388296000,776592000,0,0,388296000,0,2,0,0,0,0,0,On Progress,388296000,2
M1-22009,M1-22009.4300003554,1200000163,2023-01-09,2022-08-31,252,4300003554,140000,"INKA (PERSERO), PT",SERVICE_IMS_CAR,"Fitting Komp Interior, Eksterior, Mekani",90,2,0,17002000,34004000,0,0,17002000,0,2,0,0,0,0,0,On Progress,17002000,2
