PROJECT DEF,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,CUSTOMER NAME,MATERIAL CODE,MATERIAL NAME,NO ITEM,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,TOTAL PRICE BILLING,SISA PRICE BILLING,STATUS
0,0,1500000134,2023-01-30,POIMST/1022/00013,140002.0,"IMS TRADING, PT",FGM25030000,Bogie Frame Assembly TB 1014,10,4.0,PC,647619200.0,2590476800.0,647619200.0,1942857600.0,
0,0,1500000134,2023-01-30,POIMST/1022/00013,140002.0,"IMS TRADING, PT",FGM25030011,Upper Bolster TB 1014,20,4.0,PC,228571600.0,914286400.0,228571600.0,685714800.0,
0,0,1500000133,2023-01-30,7100000766,140011.0,"REKAINDO GLOBAL JASA, PT",FGB460U03103,CUSTOM COVER SIDE LIGHT,10,4.0,PC,5980000.0,23920000.0,5980000.0,17940000.0,
0,0,1500000133,2023-01-30,7100000766,140011.0,"REKAINDO GLOBAL JASA, PT",FGB460U03103,CUSTOM COVER SIDE LIGHT,20,8.0,PC,11960000.0,95680000.0,11960000.0,83720000.0,
0,0,1100000723,NaT,,,,SERVICE_IMS_AU,Perbaikan Prototype Tram Mover TMII,10,1.0,AU,10282800.0,10282800.0,10282800.0,0.0,
M1-23011,M1-23011.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,10,24.0,AU,40209600.0,965030400.0,40209600.0,924820800.0,
M1-23011,M1-23011.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,20,24.0,AU,9619200.0,230860800.0,9619200.0,221241600.0,
M1-23011,M1-23011.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,30,24.0,AU,18979200.0,455500800.0,18979200.0,436521600.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,40,15.0,AU,25131000.0,376965000.0,25131000.0,351834000.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,50,15.0,AU,6012000.0,90180000.0,6012000.0,84168000.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pekerjaan Re-Painting Wheel SET EXProyek,60,15.0,AU,11862000.0,177930000.0,11862000.0,166068000.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pengecatan Meja Penyimpanan Piece Part,70,7.0,AU,21236600.0,148656200.0,21236600.0,127419600.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pengecatan Meja Penyimpanan Piece Part,80,7.0,AU,11446400.0,80124800.0,11446400.0,68678400.0,
M1-22041,M1-22041.4300004393,1100000722,NaT,,,,SERVICE_IMS_AU,Pengecatan Meja Penyimpanan Piece Part,90,7.0,AU,37541000.0,262787000.0,37541000.0,225246000.0,
M9-23005,M9-23005.9000000194,1100000718,NaT,,,,SERVICE_IMS_EXT_AU,SERVICE EXTERNAL CUSTOMER AU,10,1.0,AU,421731117.0,421731117.0,421731117.0,0.0,
M9-23005,M9-23005.9000000194,1100000718,NaT,,,,SERVICE_IMS_EXT_AU,SERVICE EXTERNAL CUSTOMER AU,20,1.0,AU,409688405.0,409688405.0,409688405.0,0.0,
M9-23005,M9-23005.9000000194,1100000718,NaT,,,,SERVICE_IMS_EXT_AU,SERVICE EXTERNAL CUSTOMER AU,30,1.0,AU,393886943.0,393886943.0,393886943.0,0.0,
M9-23005,M9-23005.9000000194,1100000718,NaT,,,,SERVICE_IMS_EXT_AU,SERVICE EXTERNAL CUSTOMER AU,40,1.0,AU,450212209.9999999,450212210.0,450212209.9999999,0.0,
M1-23011,M1-23011.9000000268,1100000716,2024-10-28,4300005308,140000.0,"INKA (PERSERO), PT",SERVICE_IMS_AU,Supporting Pengujian,10,1.0,AU,13834700.0,13834700.0,13834700.0,0.0,
M0-22001,M0-22001.9000000006,1100000715,2024-10-16,001/PO.SLM/V/2024,30204.0,SALLIMNA. CV,21.0-M41001,MODUL PERTASHOP,10,1.0,UN,230900901.0,230900901.0,230900901.0,0.0,
M0-22001,M0-22001.9000000006,1100000715,2024-10-16,001/PO.SLM/V/2024,30204.0,SALLIMNA. CV,21.0-M41001,MODUL PERTASHOP,10,1.0,UN,230900901.0,230900901.0,230900901.0,0.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB40AE1701P04,Piping Septic Tank K1&K3,250,243.0,SET,3015358812.0,732732191316.0,3015358812.0,729716832504.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB40AE1701P04,Piping Septic Tank K1&K3,260,199.0,SET,2469367916.0,491404215284.0,2469367916.0,488934847368.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB40AE1701P04,Piping Septic Tank K1&K3,100,54.0,SET,670079736.0,36184305744.0,670079736.0,35514226008.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18161,Ducting AC K1&K3,10,54.0,SET,1273446900.0,68766132600.0,1273446900.0,67492685700.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18361,Ducting AC M,20,6.0,SET,141494100.0,848964600.0,141494100.0,707470500.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18461,Ducting AC P1&P2,30,5.0,SET,117911750.0,589558750.0,117911750.0,471647000.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18461,Ducting AC P1&P2,40,1.0,SET,23582350.0,23582350.0,23582350.0,0.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18107,Brake Piping System K1&K3,50,54.0,SET,2207620440.0,119211503760.0,2207620440.0,117003883320.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18307,Brake Piping System M,60,6.0,SET,245291160.0,1471746960.0,245291160.0,1226455800.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18406,Brake Piping System P1,70,5.0,SET,204409300.0,1022046500.0,204409300.0,817637200.0,
M1-22041,M1-22041.4500010277,1100000714,2024-10-16,4500010277,140000.0,"INKA (PERSERO), PT",FGB007A18506,Brake Piping System P2,80,1.0,SET,40881860.0,40881860.0,40881860.0,0.0,
