PROJECT_DEV,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P01,Fix Window,10,5346,SET,35667255690,1.91E+14,1795,SET,35667255690,6.40E+13,3551,1795,SET,35667255690,6.40E+13,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KS0601,NUT_HEX_WELD_DIN929,170,1680,PC,95760,160876800,1680,,95760,160876800,0,0,,95760,0,1680,06.06.2024,12.07.2024,36,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P01,Fix Window,40,3582,SET,23898262230,8.56E+13,1494,,23898262230,3.57E+13,2088,1494,,23898262230,3.57E+13,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KS1620,NUT_HEX_WELD_DIN929,140,880,PC,5770160,5077740800,877,,5770160,5060430320,3,0,,5770160,0,877,06.06.2024,12.07.2024,36,On Progress
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000019,STIFFENER,360,800,PC,6960000,5568000000,800,,6960000,5568000000,0,0,,6960000,0,800,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000028,STIFFENER,540,800,PC,10160000,8128000000,800,,10160000,8128000000,0,0,,10160000,0,800,20.09.2024,31.01.2025,133,Complete
M1-23003,M1-23003.4500011540,1200000322,9/4/2024,4500011540,140000,FGB44LZ0020,WASHER_SPRING,10,740,PC,1295000,958300000,740,,1295000,958300000,0,0,,1295000,0,740,14.08.2024,27.04.2025,256,Complete
M1-23003,M1-23003.4500011540,1200000322,9/4/2024,4500011540,140000,FGB44LZ0020,WASHER_SPRING,20,740,PC,1295000,958300000,740,,1295000,958300000,0,0,,1295000,0,740,14.08.2024,27.04.2025,256,Complete
M1-23003,M1-23003.4500011540,1200000322,9/4/2024,4500011540,140000,FGB44LZ0020,WASHER_SPRING,30,740,PC,1295000,958300000,740,,1295000,958300000,0,0,,1295000,0,740,14.08.2024,27.04.2025,256,Complete
M1-23003,M1-23003.4500011540,1200000322,9/4/2024,4500011540,140000,FGB44LZ0020,WASHER_SPRING,40,740,PC,1295000,958300000,740,,1295000,958300000,0,0,,1295000,0,740,14.08.2024,27.04.2025,256,Complete
