PROJECT DEF,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status,Persen
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG1002P01,Fix Window,10,5346,SET,35667255690.0,190677148918740.0,1795,SET,35667255690.0,64022723963550.0,3551,1795,SET,35667255690.0,64022723963550.0,0,04.09.2023,30.04.2026,969,On Progress,33.6
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB43KS0601,NUT_HEX_WELD_DIN929,170,1680,PC,95760.0,160876800.0,1680,,95760.0,160876800.0,0,0,,95760.0,0.0,1680,06.06.2024,12.07.2024,36,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG1002P01,Fix Window,40,3582,SET,23898262230.0,85603575307860.0,1494,,23898262230.0,35704003771620.0,2088,1494,,23898262230.0,35704003771620.0,0,04.09.2023,30.04.2026,969,On Progress,41.7
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB43KS1620,NUT_HEX_WELD_DIN929,140,880,PC,5770160.0,5077740800.0,877,,5770160.0,5060430320.0,3,0,,5770160.0,0.0,877,06.06.2024,12.07.2024,36,On Progress,99.7
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000019,STIFFENER,360,800,PC,6960000.0,5568000000.0,800,,6960000.0,5568000000.0,0,0,,6960000.0,0.0,800,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000028,STIFFENER,540,800,PC,10160000.0,8128000000.0,800,,10160000.0,8128000000.0,0,0,,10160000.0,0.0,800,20.09.2024,31.01.2025,133,Complete,100.0
M1-23003,M1-23003.4500011540,1200000322,2024-09-04,4500011540,140000,FGB44LZ0020,WASHER_SPRING,10,740,PC,1295000.0,958300000.0,740,,1295000.0,958300000.0,0,0,,1295000.0,0.0,740,14.08.2024,27.04.2025,256,Complete,100.0
M1-23003,M1-23003.4500011540,1200000322,2024-09-04,4500011540,140000,FGB44LZ0020,WASHER_SPRING,20,740,PC,1295000.0,958300000.0,740,,1295000.0,958300000.0,0,0,,1295000.0,0.0,740,14.08.2024,27.04.2025,256,Complete,100.0
M1-23003,M1-23003.4500011540,1200000322,2024-09-04,4500011540,140000,FGB44LZ0020,WASHER_SPRING,30,740,PC,1295000.0,958300000.0,740,,1295000.0,958300000.0,0,0,,1295000.0,0.0,740,14.08.2024,27.04.2025,256,Complete,100.0
M1-23003,M1-23003.4500011540,1200000322,2024-09-04,4500011540,140000,FGB44LZ0020,WASHER_SPRING,40,740,PC,1295000.0,958300000.0,740,,1295000.0,958300000.0,0,0,,1295000.0,0.0,740,14.08.2024,27.04.2025,256,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB43KS0120,NUT_HEX_FLANGE_SERRATED,100,740,PC,3654120.0,2704048800.0,739,,3654120.0,2700394680.0,1,0,,3654120.0,0.0,739,06.06.2024,12.07.2024,36,On Progress,99.9
0,0,1200000309,2024-06-10,4500011040,140000,FGB43KS1217,NUT_HEX_WELD_DIN929,130,720,PC,2331360.0,1678579200.0,720,,2331360.0,1678579200.0,0,0,,2331360.0,0.0,720,06.06.2024,12.07.2024,36,Complete,100.0
