Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch
2024-01-02,A11AB0032,STEEL PLATE,,2024-01-02,-11.00,1,221,M1-22041.4300003938,SHT,-12762569,4900307609,IMS_INVT01,,FABRIKASI WS.INK,,,56091,
2024-01-02,A11AB0090G9157,STEEL PLATE,,2024-01-02,-1.00,1,221,M1-22041.4300003938,SHT,-10892700,4900300623,IMS_INVT01,,FABRIKASI INKA,,,51917,SK89691
2024-01-02,A11ND0020,STEEL PLATE,,2024-01-02,-4.00,1,221,M1-22041.4300003938,SHT,-7553996,4900307611,IMS_INVT01,,FABRIKASI WS.INK,,,58722,
2024-01-02,A16GL0340L-S80,"STEEL PIPE 1""",,2023-12-17,-90,1,221,M1-22041.4300003938,STK,-69425787,4900307178,IMS_INVT01,,FABRIKASI WS.INK,,,60261,
2024-01-02,A16HS0605L-S40,"STEEL PIPE 2""",,2024-01-02,-18,1,221,M1-22041.4300003938,STK,-17781429,4900307604,IMS_INVT01,,FABRIKASI WS.INK,,,54269,
2024-01-02,A16HS0605L-S40,"STEEL PIPE 2""",,2024-01-02,-8,1,221,M1-22041.4300003938,STK,-7902857,4900307605,IMS_INVT01,,FABRIKASI WS.INK,,,54199,
2024-01-02,D72SD08125,MATA TAP,,2024-01-02,-100,1,221,M1-22041.4300003938,PC,-14900395,4900300524,IMS_INVT01,,WS. BAGI,,,61343,
2024-01-02,D76SL1612105#WD,CUTTING WHEEL WD,,2024-01-02,-400,1,221,M1-22041.4300003938,PC,-1116154,4900300554,IMS_INVT01,,WS. BAGI,,,61335,
2024-01-02,D76SL2543405,CUTTING WHEEL (ABRASIVE),,2024-01-02,-100,1,221,M1-22041.4300003938,PC,-4500000,4900300589,IMS_INVT01,,FINISHING WS.INK,,,61364,
2024-01-02,D84TA50001,KAOS TANGAN,,2024-01-02,-50,1,221,M1-22041.4300003938,PAC,-1250000,4900300588,IMS_INVT01,,FINISHING WS.INK,,,61365,
2024-01-02,D84TA50001,KAOS TANGAN,,2024-01-02,-50,1,221,M1-22041.4300003938,PAC,-1250000,4900300548,IMS_INVT01,,WS. BAGI,,,61345,
2024-01-02,A09SJ0500B4#AL80,ROCKWOOL BLANGKET,,2024-01-02,-1424.00,1,221,M1-22041.4300003938.1,SHT,-121040000,4900300523,IMS_INVT01,,WS. INKA,,,61344,
2024-01-02,A11AB0023,STEEL PLATE,,2024-01-02,-17.00,1,221,M1-22041.4300003938.1,SHT,-14231210,4900300510,IMS_INVT01,,WS. BAGI,,,61350,
2024-01-02,A11ND0030E10,STEEL PLATE,,2024-01-02,-2.00,1,221,M1-22041.4300003938.1,SHT,-9197625,4900300598,IMS_INVT01,,FABRIKASI INKA,,,60830,
2024-01-02,A15AB0090,ROUND BAR,,2024-01-02,-1,1,221,M1-22041.4300003938.1,STK,-41569,4900300614,IMS_INVT01,,,,,58533,
2024-01-02,B04NDJDA012-300,FLEXIBLE HOSE,,2024-01-02,-50,4,221,M1-22041.4300003938.1,PC,-2475000,4900300500,IMS_INVT01,,WS. BAGI,,,61318,
2024-01-02,B04NDJDA012-500,FLEXIBLE HOSE,,2024-01-02,-50,3,221,M1-22041.4300003938.1,PC,-2875000,4900300500,IMS_INVT01,,WS. BAGI,,,61318,
2024-01-02,B41BE1204025,CSK CHD SCREW (JF),,2024-01-02,-1900,1,221,M1-22041.4300003938.1,PC,-893085,4900300530,IMS_INVT01,,WS. BAGI,,,61333,
2024-01-02,B41BE1204025,CSK CHD SCREW (JF),,2024-01-02,-1000,2,221,M1-22041.4300003938.1,PC,-470045,4900300500,IMS_INVT01,,WS. BAGI,,,61318,
2024-01-02,B41BE1208030,CSK CHD SCREW (JF),,2024-01-02,-1000,4,221,M1-22041.4300003938.1,PC,-2357142,4900300530,IMS_INVT01,,WS. BAGI,,,61333,
2024-01-02,B42BE0106020,HEX BOLT,,2024-01-02,-1000,5,221,M1-22041.4300003938.1,PC,-718813,4900300530,IMS_INVT01,,WS. BAGI,,,61333,
2024-01-02,B42BE0108020,HEX BOLT,,2024-01-02,-70,6,221,M1-22041.4300003938.1,PC,-90510,4900300530,IMS_INVT01,,WS. BAGI,,,61333,
2024-01-02,B42BE1108012,U BOLT,,2024-01-02,-60,14,221,M1-22041.4300003938.1,PC,-339960,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B42BE1108100,U BOLT,,2024-01-02,-25,12,221,M1-22041.4300003938.1,PC,-260300,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B50AD01006,MICRO SWITCH,,2024-01-02,-32,1,221,M1-22041.4300003938.1,PC,-384000,4900300566,IMS_INVT01,,WS. BAGI,,,61361,
2024-01-02,B50CA10114,AFUR WASTAFEL,,2024-01-02,-20,6,221,M1-22041.4300003938.1,PC,-6580000,4900300500,IMS_INVT01,,WS. BAGI,,,61318,
2024-01-02,B50CD0104,KRAN (FAUCET),,2024-01-02,-43,5,221,M1-22041.4300003938.1,PC,-7525000,4900300500,IMS_INVT01,,WS. BAGI,,,61318,
2024-01-02,B51NDBDN012,SQUARE PLUG,,2024-01-02,-15,10,221,M1-22041.4300003938.1,PC,-457500,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDDHG012,DOUBLE NIPPLE 1/2,,2024-01-02,-30,8,221,M1-22041.4300003938.1,PC,-585184,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDDHG100,"DOUBLE NIPPLE 1""",,2024-01-02,-15,11,221,M1-22041.4300003938.1,PC,-370425,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDPFR012,"SOCKET 1/2""",,2024-01-02,-30,6,221,M1-22041.4300003938.1,PC,-867322,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDPFR100,"SOCKET 1""",,2024-01-02,-30,5,221,M1-22041.4300003938.1,PC,-1860000,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDPIR100,"UNION (UNION STRAIGHT JOINT 1"")",,2024-01-02,-180,7,221,M1-22041.4300003938.1,PC,-15876000,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDPWG012,"ELBOW JOINT 1/2""",,2024-01-02,-105,3,221,M1-22041.4300003938.1,PC,-1766789,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDPWG100,ELBOW JOINT 1,,2024-01-02,-180,1,221,M1-22041.4300003938.1,PC,-9338754,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDQBR100R012,BUSHING FITTING,,2024-01-02,-45,9,221,M1-22041.4300003938.1,PC,-1718683,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
2024-01-02,B51NDQWG100,"TEE JOINT 1""",,2024-01-02,-45,2,221,M1-22041.4300003938.1,PC,-2832979,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,
